year,intP_RSP,mnChl_aw_RSP,mnOW_RSP,nmSST_aw_RSP,mnAirTemp,mnWind,mnSIE,GyreSPD,TOTALDays.10,TOTALTonnes.100,Prop._134,Fish,Fish1,Cum_Fish,Cum_Fish_lag1,Cum_fish1,Cum_fish2,Cum_fish3,Cum_fish4,Cum_fish5,Cum_fish6,Cum_fish7,Cum_fish8,Salinity,ICEBERG,ADPE_BIRD,ADPE_CROZ,ADPE_RO,BIRD,EMPE,WESE,WESE_1,av_SIE,FIE
1998,0.717087139,1.296946275,4370.76,-0.758259,-5.65,7.8,3.126,6.3,1,0.41,,,,,,,,,,,,,,34.845,0,38252,125441,34110,38252,1108,0.6388527,,3.126,17.2
1999,0.719670487,1.505374104,4127.91,-0.926631,-5.9,7.8,3.269,6.7,8.5,2.96,,,,,,,,,,,,,,,0,47350,156441,36200,47350,798,0.6505867,,3.269,31
2000,0.352763714,0.638517296,2959.68,-1.10923,-4.45,7.8,2.983,6.4,12.3,6.6944,30,2.00832,,,,,,,,,,,,34.79,0,41409,89489,23630,41409,1201,0.6219035,1.05,2.983,37.2
2001,1.061293957,3.120599358,4366.66,-0.911519,-6.175,8.6,2.964,6.6,26.2,5.6849,50,2.84245,,,,,,,,,,,,34.835,1,26317,67114,13670,26317,0,0.5084746,0.75,2.964,15
2002,0.121901,0.190598,1748.01,-1.10955,-6.05,8.8,2.779,4.4,20.5,12.3086,55,6.76973,,,,,,,,,,,,34.84,1,40678,161079,22390,40678,247,0.5345502,0.8,2.779,44.9
2003,0.17975,0.242426,2701.45,-1.17764,-4.625,8.6,2.859,7,43.5,14.1807,35,4.963245,4.963245,12.084499,10.248682,11.732975,10.839036,13.0774115,12.084499,10.379029,9.025083,7.671137,6.317191,34.836,1,22816,100843,19630,22816,279,0.5084746,0.78,2.859,52
2004,0.0595893,0.0920093,1115.63,-1.39412,-5,8.4,2.759,7.2,98.8,20.6458,38,7.845404,7.845404,15.877838,12.084499,12.808649,14.0275675,17.4757406,15.877838,11.816,10.823351,9.830702,8.838053,34.835,1,36773,182492,20360,36773,475,0.2607562,0.35,2.759,14.9
2005,0.245199,0.534119,3630.16,-1.09905,-5.25,8.8,2.832,7.8,57.6,33.5537,45,15.099165,15.099165,24.3534352,15.877838,22.944569,22.5762458,27.4016812,24.3534352,21.3754882,19.8064074,18.2373266,16.6682458,34.795,1,57709,194449,24590,57709,0,0.3780965,0.55,2.832,47
2006,0.392739,0.590828,4718.94,-0.954533,-6,8.8,2.738,5.4,47.2,27.0129,42,11.345418,11.345418,28.1319924,24.3534352,26.444583,25.0529951,30.759938,28.1319924,23.42475,20.404917,17.385084,14.365251,34.8,0,50326,205667,26070,50326,359,0.5215124,0.95,2.738,47
2007,0.353395,0.639611,3903.53,-1.06465,-6.8,9.4,3.126,4.9,56.1,28.5381,41,11.700621,11.700621,29.8364544,28.1319924,23.046039,25.6820796,34.8835512,29.8364544,20.7769554,18.5078718,16.2387882,13.9697046,,0,50595,197990,26540,50595,612,0.6518905,1.25,3.126,23
2008,0.25669,0.58906,1968.25,-1.1738,-5.025,8.2,3.167,7.4,48.8,22.3769,42,9.398298,9.398298,25.5660456,29.8364544,21.098919,22.1268999,34.8202566,25.5660456,18.7587948,16.4186706,14.0785464,11.7384222,34.82,0,39285,193624,18050,39285,367,0.5215124,0.75,3.167,20
2009,0.470999,1.18551,5003.04,-0.939651,-5.475,9.2,3.071,6.1,37.7,22.4361,39,8.750079,8.750079,23.28909,25.5660456,18.148377,20.009136,30.391395,23.28909,16.2687174,14.3890578,12.5093982,10.6297386,,0,67122,282515,26090,67122,650,0.619296,1.1,3.071,38
2010,0.665519,1.62219,4676.62,-0.910408,-4.8,8.8,2.98,7.8,52,30.101,35,10.53535,10.53535,23.174392,23.28909,19.285429,20.4197245,30.0810594,23.174392,17.5354132,15.7853974,14.0353816,12.2853658,34.8,0,68525,278928,25130,68525,427,0.7692308,1.43,2.98,18
2011,0.344691,0.580363,3446.75,-1.14531,-4.475,8.6,2.756,5.6,38.7,29.3494,26,7.630844,7.630844,21.3091714,23.174392,18.166194,18.5056206,27.0600737,21.3091714,16.059124,13.952054,11.844984,9.737914,,0,59875,261371,28870,59875,221,0.7822686,1.38,2.756,18
2012,0.563372,1.52375,3799.97,-1.00775,-4.325,8,2.789,6.4,43.6,31.1801,21,6.547821,6.547821,18.9737062,21.3091714,14.178665,16.1035518,24.6225065,18.9737062,12.6524962,11.1263274,9.6001586,8.0739898,34.775,0,75696,272340,30830,75696,1080,0.7666232,1.35,2.789,16
2013,0.586291,1.15787,4809.29,-0.529366,-5.475,8.8,3.113,5,59.7,32.8684,17,5.587628,5.587628,15.4043912,18.9737062,12.135449,13.2234403,21.9299228,15.4043912,10.8258848,9.5163206,8.2067564,6.8971922,34.78,0,66679,280787,29440,66679,1033,0.7203604,1.3,3.113,18
2014,0.294715,0.603961,3855.74,-0.991542,-5.425,9.2,3.029,6.7,50.1,29.8094,18,5.365692,5.365692,13.764487,15.4043912,10.95332,11.89616,18.4612063,13.764487,9.8357944,8.7182688,7.6007432,6.4832176,34.765,0,77347,281308,31870,77347,1238,0.7783572,1.4,3.029,20
2015,0.611026,1.36406,4850.6,-0.801907,-5.275,10.4,2.89,7.4,40.3,26.78,10,2.678,2.678,10.3231304,13.764487,8.043692,8.6690356,14.5427858,10.3231304,6.9705536,5.8974152,4.8242768,3.7511384,,0,74270,304733,31110,74270,1737,0.8100851,1.45,2.89,20
2016,0.454481,0.993719,2029.15,-1.02759,-6.175,8.2,2.709,6.6,27.2,28.2,37,10.434,10.434,15.7958152,10.3231304,13.112,14.4548768,18.6415612,15.7958152,12.5764,12.0408,11.5052,10.9696,34.77,0,58554,280581,17460,58554,1759,0.6257191,1.1,2.709,15
2017,0.254361,0.401386,3262.14,-1.14877,-4.7,8.8,2.417,7.3,37.3,26.8,32,8.576,8.576,18.53,15.7958152,19.01,16.951,21.1596152,18.53,16.9232,14.8364,12.7496,10.6628,34.82,0,63734,287091,26290,63734,1743,0.9778357,1.65,2.417,60
2018,0.450405,1.05382,4958.09,-1.05724,-4.7,11.8,2.65,,,26.37,32,8.4384,8.4384,21.5596,18.53,17.0144,18.6152,23.36596,21.5596,15.2992,13.584,11.8688,10.1536,34.85,0,65205,312559,31030,65205,1911,0.5997393,1,2.647,13.5
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,15.4
